Group,Values
Ex-miRs,54.55
Ex-miRs,63.64
Ex-miRs,63.64
Ex-miRs,85.71
Ex-miRs,55.56
Ex-miRs,71.43
Ex-miRs,76.19
Ex-miRs,68.42
Ex-miRs,77.27
Ex-miRs,77.27
Ex-miRs,65.00
Ex-miRs,82.35
Ex-miRs,76.19
Ex-miRs,65.22
Ex-miRs,66.67
Ex-miRs,72.73
Ex-miRs,54.55
Ex-miRs,63.64
Ex-miRs,59.09
Ex-miRs,59.09
Ex-miRs,54.55
Ex-miRs,61.11
Ex-miRs,57.89
Ex-miRs,83.33
Ex-miRs,80.00
Ex-miRs,59.09
Ex-miRs,54.55
Ex-miRs,54.55
Ex-miRs,59.09
Ex-miRs,68.18
Ex-miRs,61.90
Ex-miRs,70.59
Ex-miRs,70.59
Ex-miRs,52.38
Ex-miRs,57.14
Ex-miRs,68.00
Ex-miRs,63.64
Ex-miRs,58.33
Ex-miRs,59.09
Ex-miRs,61.11
Ex-miRs,72.73
Ex-miRs,71.43
Ex-miRs,54.55
Ex-miRs,59.09
Ex-miRs,77.27
Ex-miRs,86.36
Ex-miRs,59.09
Ex-miRs,56.52
Ex-miRs,65.22
Ex-miRs,52.17
Ex-miRs,57.14
Ex-miRs,59.09
Ex-miRs,52.17
Ex-miRs,57.14
Ex-miRs,59.09
Ex-miRs,76.19
Ex-miRs,60.87
Ex-miRs,68.18
Ex-miRs,54.55
Ex-miRs,52.38
Ex-miRs,52.38
Ex-miRs,73.91
Ex-miRs,54.55
Ex-miRs,66.67
Ex-miRs,63.64
Ex-miRs,61.90
Ex-miRs,56.52
Ex-miRs,76.19
Ex-miRs,81.82
Ex-miRs,71.43
Ex-miRs,63.64
Ex-miRs,52.17
Ex-miRs,71.43
Ex-miRs,59.09
Ex-miRs,59.09
Ex-miRs,59.09
Ex-miRs,54.55
Ex-miRs,59.09
Ex-miRs,69.57
Ex-miRs,63.64
Ex-miRs,65.00
Ex-miRs,52.17
Ex-miRs,54.55
